Surname,Name,Sex,Age,Pclass,Embarked
Astor,Mrs. John Jacob (Madeleine Talmadge Force),Female,18.0,First Class,C
Attalah,Miss. Malake,Female,17.0,Third Class,C
Attalah,Mr. Sleiman,Male,30.0,Third Class,C
Aubart,Mme. Leontine Pauline,Female,24.0,First Class,C
Augustsson,Mr. Albert,Male,23.0,Third Class,S
Ayoub,Miss. Banoura,Female,13.0,Third Class,C
Backstrom,Mr. Karl Alfred,Male,32.0,Third Class,S
Backstrom,Mrs. Karl Alfred (Maria Mathilda Gustafsson),Female,33.0,Third Class,S
Baclini,Miss. Eugenie,Female,0.75,Third Class,C
Baclini,Miss. Helene Barbara,Female,0.75,Third Class,C
Baclini,Miss. Marie Catherine,Female,5.0,Third Class,C
Baclini,Mrs. Solomon (Latifa Qurban),Female,24.0,Third Class,C
Badt,Mr. Mohamed,Male,40.0,Third Class,C
Bailey,Mr. Percy Andrew,Male,18.0,Second Class,S
Balkic,Mr. Cerin,Male,26.0,Third Class,S
Ball,Mrs. (Ada E Hall),Female,36.0,Second Class,S
Banfield,Mr. Frederick James,Male,28.0,Second Class,S
Barah,Mr. Hanna Assi,Male,20.0,Third Class,C
Barbara,Miss. Saiide,Female,18.0,Third Class,C
Barbara,Mrs. (Catherine David),Female,45.0,Third Class,C
Barber,"Miss. Ellen ""Nellie""",Female,26.0,First Class,S
Barkworth,Mr. Algernon Henry Wilson,Male,80.0,First Class,S
Barton,Mr. David John,Male,22.0,Third Class,S
Bateman,Rev. Robert James,Male,51.0,Second Class,S
Baumann,Mr. John D,Male,,First Class,S
Baxter,Mr. Quigg Edmond,Male,24.0,First Class,C
Baxter,Mrs. James (Helene DeLaudeniere Chaput),Female,50.0,First Class,C
Bazzani,Miss. Albina,Female,32.0,First Class,C
Beane,Mr. Edward,Male,32.0,Second Class,S
Beane,Mrs. Edward (Ethel Clarke),Female,19.0,Second Class,S
Beavan,Mr. William Thomas,Male,19.0,Third Class,S
Becker,Master. Richard F,Male,1.0,Second Class,S
Becker,Miss. Marion Louise,Female,4.0,Second Class,S
Beckwith,Mr. Richard Leonard,Male,37.0,First Class,S
Beckwith,Mrs. Richard Leonard (Sallie Monypeny),Female,47.0,First Class,S
Beesley,Mr. Lawrence,Male,34.0,Second Class,S
Behr,Mr. Karl Howell,Male,26.0,First Class,C
Bengtsson,Mr. John Viktor,Male,26.0,Third Class,S
Berglund,Mr. Karl Ivar Sven,Male,22.0,Third Class,S
Berriman,Mr. William John,Male,23.0,Second Class,S
Betros,Mr. Tannous,Male,20.0,Third Class,C
Bidois,Miss. Rosalie,Female,42.0,First Class,C
Bing,Mr. Lee,Male,32.0,Third Class,S
Birkeland,Mr. Hans Martin Monsen,Male,21.0,Third Class,S
Bishop,Mr. Dickinson H,Male,25.0,First Class,C
Bishop,Mrs. Dickinson H (Helen Walton),Female,19.0,First Class,C
Bissette,Miss. Amelia,Female,35.0,First Class,S
Bjornstrom-Steffansson,Mr. Mauritz Hakan,Male,28.0,First Class,S
Blackwell,Mr. Stephen Weart,Male,45.0,First Class,S
Blank,Mr. Henry,Male,40.0,First Class,C
Bonnell,Miss. Elizabeth,Female,58.0,First Class,S
Bostandyeff,Mr. Guentcho,Male,26.0,Third Class,S
Boulos,Miss. Nourelain,Female,9.0,Third Class,C
Boulos,Mr. Hanna,Male,,Third Class,C
Boulos,Mrs. Joseph (Sultana),Female,,Third Class,C
Bourke,Miss. Mary,Female,,Third Class,Q
Bourke,Mr. John,Male,40.0,Third Class,Q
Bourke,Mrs. John (Catherine),Female,32.0,Third Class,Q
Bowen,"Mr. David John ""Dai""",Male,21.0,Third Class,S
Bowerman,Miss. Elsie Edith,Female,22.0,First Class,S
Bracken,Mr. James H,Male,27.0,Second Class,S
Bradley,"Mr. George (""George Arthur Brayton"")",Male,,First Class,S
Braund,Mr. Lewis Richard,Male,29.0,Third Class,S
Braund,Mr. Owen Harris,Male,22.0,Third Class,S
Brewe,Dr. Arthur Jackson,Male,,First Class,C
Brocklebank,Mr. William Alfred,Male,35.0,Third Class,S
Brown,"Miss. Amelia ""Mildred""",Female,24.0,Second Class,S
Brown,Mr. Thomas William Solomon,Male,60.0,Second Class,S
Brown,Mrs. James Joseph (Margaret Tobin),Female,44.0,First Class,C
Brown,Mrs. Thomas William Solomon (Elizabeth Catherine Ford),Female,40.0,Second Class,S
Bryhl,Mr. Kurt Arnold Gottfrid,Male,25.0,Second Class,S
Burke,Mr. Jeremiah,Male,19.0,Third Class,Q
Burns,Miss. Elizabeth Margaret,Female,41.0,First Class,C
Buss,Miss. Kate,Female,36.0,Second Class,S
Butler,Mr. Reginald Fenton,Male,25.0,Second Class,S
Butt,Major. Archibald Willingham,Male,45.0,First Class,S
Byles,Rev. Thomas Roussel Davids,Male,42.0,Second Class,S
Bystrom,Mrs. (Karolina),Female,42.0,Second Class,S
Cacic,Miss. Marija,Female,30.0,Third Class,S
Cacic,Mr. Luka,Male,38.0,Third Class,S
Cairns,Mr. Alexander,Male,,First Class,S
Calderhead,Mr. Edward Pennington,Male,42.0,First Class,S
Caldwell,Master. Alden Gates,Male,0.83,Second Class,S
Caldwell,Mrs. Albert Francis (Sylvia Mae Harbaugh),Female,22.0,Second Class,S
Calic,Mr. Jovo,Male,17.0,Third Class,S
Calic,Mr. Petar,Male,17.0,Third Class,S
Cameron,Miss. Clear Annie,Female,35.0,Second Class,S
Campbell,Mr. William,Male,,Second Class,S
Canavan,Miss. Mary,Female,21.0,Third Class,Q
Cann,Mr. Ernest Charles,Male,21.0,Third Class,S
Caram,Mrs. Joseph (Maria Elias),Female,,Third Class,C
Carbines,Mr. William,Male,19.0,Second Class,S
Cardeza,Mr. Thomas Drake Martinez,Male,36.0,First Class,C
Carlsson,Mr. August Sigfrid,Male,28.0,Third Class,S
Carlsson,Mr. Frans Olof,Male,33.0,First Class,S
Carr,"Miss. Helen ""Ellen""",Female,16.0,Third Class,Q
Carrau,Mr. Francisco M,Male,28.0,First Class,S
Carter,Master. William Thornton II,Male,11.0,First Class,S
Carter,Miss. Lucile Polk,Female,14.0,First Class,S
Carter,Mr. William Ernest,Male,36.0,First Class,S
Carter,Mrs. Ernest Courtenay (Lilian Hughes),Female,44.0,Second Class,S
Carter,Mrs. William Ernest (Lucile Polk),Female,36.0,First Class,S
Carter,Rev. Ernest Courtenay,Male,54.0,Second Class,S
Cavendish,Mr. Tyrell William,Male,36.0,First Class,S
Celotti,Mr. Francesco,Male,24.0,Third Class,S
Chaffee,Mr. Herbert Fuller,Male,46.0,First Class,S
Chambers,Mr. Norman Campbell,Male,27.0,First Class,S
Chambers,Mrs. Norman Campbell (Bertha Griggs),Female,33.0,First Class,S
Chapman,Mr. Charles Henry,Male,52.0,Second Class,S
Chapman,Mr. John Henry,Male,37.0,Second Class,S
Charters,Mr. David,Male,21.0,Third Class,Q
Cherry,Miss. Gladys,Female,30.0,First Class,S
Chibnall,Mrs. (Edith Martha Bowerman),Female,,First Class,S
Chip,Mr. Chang,Male,32.0,Third Class,S
Christmann,Mr. Emil,Male,29.0,Third Class,S
Christy,Miss. Julie Rachel,Female,25.0,Second Class,S
Chronopoulos,Mr. Apostolos,Male,26.0,Third Class,C
Clarke,Mrs. Charles V (Ada Maria Winfield),Female,28.0,Second Class,S
Cleaver,Miss. Alice,Female,22.0,First Class,S
Clifford,Mr. George Quincy,Male,,First Class,S
Coelho,Mr. Domingos Fernandeo,Male,20.0,Third Class,S
Cohen,"Mr. Gurshon ""Gus""",Male,18.0,Third Class,S
Coleff,Mr. Peju,Male,36.0,Third Class,S
Coleff,Mr. Satio,Male,24.0,Third Class,S
Coleridge,Mr. Reginald Charles,Male,29.0,Second Class,S
Collander,Mr. Erik Gustaf,Male,28.0,Second Class,S
Colley,Mr. Edward Pomeroy,Male,47.0,First Class,S
Collyer,"Miss. Marjorie ""Lottie""",Female,8.0,Second Class,S
Collyer,Mr. Harvey,Male,31.0,Second Class,S
Collyer,Mrs. Harvey (Charlotte Annie Tate),Female,31.0,Second Class,S
Compton,Miss. Sara Rebecca,Female,39.0,First Class,C
Connaghton,Mr. Michael,Male,31.0,Third Class,Q
Connolly,Miss. Kate,Female,22.0,Third Class,Q
Connors,Mr. Patrick,Male,70.5,Third Class,Q
Cook,Mr. Jacob,Male,43.0,Third Class,S
Cor,Mr. Liudevit,Male,19.0,Third Class,S
Corn,Mr. Harry,Male,30.0,Third Class,S
Coutts,"Master. Eden Leslie ""Neville""",Male,9.0,Third Class,S
Coutts,"Master. William Loch ""William""",Male,3.0,Third Class,S
Coxon,Mr. Daniel,Male,59.0,Third Class,S
Crease,Mr. Ernest James,Male,19.0,Third Class,S
Cribb,Mr. John Hatfield,Male,44.0,Third Class,S
Crosby,Capt. Edward Gifford,Male,70.0,First Class,S
Crosby,Miss. Harriet R,Female,36.0,First Class,S
Culumovic,Mr. Jeso,Male,17.0,Third Class,S
Cumings,Mrs. John Bradley (Florence Briggs Thayer),Female,38.0,First Class,C
Cunningham,Mr. Alfred Fleming,Male,,Second Class,S
Dahl,Mr. Karl Edwart,Male,45.0,Third Class,S
Dahlberg,Miss. Gerda Ulrika,Female,22.0,Third Class,S
Dakic,Mr. Branko,Male,19.0,Third Class,S
Daly,Mr. Eugene Patrick,Male,29.0,Third Class,Q
Daly,Mr. Peter Denis ,Male,51.0,First Class,S
Danbom,Mr. Ernst Gilbert,Male,34.0,Third Class,S
Danbom,Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren),Female,28.0,Third Class,S
Daniel,Mr. Robert Williams,Male,27.0,First Class,S
Danoff,Mr. Yoto,Male,27.0,Third Class,S
Dantcheff,Mr. Ristiu,Male,25.0,Third Class,S
Davidson,Mr. Thornton,Male,31.0,First Class,S
Davies,Master. John Morgan Jr,Male,8.0,Second Class,S
Davies,Mr. Alfred J,Male,24.0,Third Class,S
Davies,Mr. Charles Henry,Male,18.0,Second Class,S
Davis,Miss. Mary,Female,28.0,Second Class,S
Davison,Mrs. Thomas Henry (Mary E Finck),Female,,Third Class,S
Dean,Master. Bertram Vere,Male,1.0,Third Class,S
Dean,Mr. Bertram Frank,Male,26.0,Third Class,S
Denkoff,Mr. Mitto,Male,,Third Class,S
Dennis,Mr. Samuel,Male,22.0,Third Class,S
Devaney,Miss. Margaret Delia,Female,19.0,Third Class,Q
Dick,Mr. Albert Adrian,Male,31.0,First Class,S
Dick,Mrs. Albert Adrian (Vera Gillespie),Female,17.0,First Class,S
Dimic,Mr. Jovan,Male,42.0,Third Class,S
Dodge,Master. Washington,Male,4.0,First Class,S
Doharr,Mr. Tannous,Male,,Third Class,C
Doling,Miss. Elsie,Female,18.0,Second Class,S
Doling,Mrs. John T (Ada Julia Bone),Female,34.0,Second Class,S
Dooley,Mr. Patrick,Male,32.0,Third Class,Q
Dorking,Mr. Edward Arthur,Male,19.0,Third Class,S
Douglas,Mr. Walter Donald,Male,50.0,First Class,C
Dowdell,Miss. Elizabeth,Female,30.0,Third Class,S
Downton,Mr. William James,Male,54.0,Second Class,S
Drazenoic,Mr. Jozef,Male,33.0,Third Class,C
Drew,Mrs. James Vivian (Lulu Thorne Christian),Female,34.0,Second Class,S
Duane,Mr. Frank,Male,65.0,Third Class,Q
Duff Gordon,"Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")",Female,48.0,First Class,C
Duff Gordon,"Sir. Cosmo Edmund (""Mr Morgan"")",Male,49.0,First Class,C
Duran y More,Miss. Asuncion,Female,27.0,Second Class,C
Edvardsson,Mr. Gustaf Hjalmar,Male,18.0,Third Class,S
Eitemiller,Mr. George Floyd,Male,23.0,Second Class,S
Eklund,Mr. Hans Linus,Male,16.0,Third Class,S
Ekstrom,Mr. Johan,Male,45.0,Third Class,S
Elias,Mr. Dibo,Male,,Third Class,C
Elias,Mr. Joseph Jr,Male,17.0,Third Class,C
Elias,Mr. Tannous,Male,15.0,Third Class,C
Elsbury,Mr. William James,Male,47.0,Third Class,S
Emanuel,Miss. Virginia Ethel,Female,5.0,Third Class,S
Emir,Mr. Farred Chehab,Male,,Third Class,C
Endres,Miss. Caroline Louise,Female,38.0,First Class,C
Eustis,Miss. Elizabeth Mussey,Female,54.0,First Class,C
Fahlstrom,Mr. Arne Jonas,Male,18.0,Second Class,S
Farrell,Mr. James,Male,40.5,Third Class,Q
Farthing,Mr. John,Male,,First Class,S
Faunthorpe,Mrs. Lizzie (Elizabeth Anne Wilkinson),Female,29.0,Second Class,S
Fischer,Mr. Eberhard Thelander,Male,18.0,Third Class,S
Fleming,Miss. Margaret,Female,,First Class,C
Flynn,Mr. James,Male,,Third Class,Q
Flynn,Mr. John,Male,,Third Class,Q
Flynn,"Mr. John Irwin (""Irving"")",Male,36.0,First Class,S
Foo,Mr. Choong,Male,,Third Class,S
Ford,"Miss. Doolina Margaret ""Daisy""",Female,21.0,Third Class,S
Ford,"Miss. Robina Maggie ""Ruby""",Female,9.0,Third Class,S
Ford,Mr. William Neal,Male,16.0,Third Class,S
Ford,Mrs. Edward (Margaret Ann Watson),Female,48.0,Third Class,S
Foreman,Mr. Benjamin Laventall,Male,30.0,First Class,C
Fortune,Miss. Alice Elizabeth,Female,24.0,First Class,S
Fortune,Miss. Mabel Helen,Female,23.0,First Class,S
Fortune,Mr. Charles Alexander,Male,19.0,First Class,S
Fortune,Mr. Mark,Male,64.0,First Class,S
Fox,Mr. Stanley Hubert,Male,36.0,Second Class,S
Francatelli,Miss. Laura Mabel,Female,30.0,First Class,C
Frauenthal,Dr. Henry William,Male,50.0,First Class,S
Frauenthal,Mrs. Henry William (Clara Heinsheimer),Female,,First Class,S
Frolicher,Miss. Hedwig Margaritha,Female,22.0,First Class,C
Frolicher-Stehli,Mr. Maxmillian,Male,60.0,First Class,C
Frost,"Mr. Anthony Wood ""Archie""",Male,,Second Class,S
Fry,Mr. Richard,Male,,First Class,S
Funk,Miss. Annie Clemmer,Female,38.0,Second Class,S
Futrelle,Mr. Jacques Heath,Male,37.0,First Class,S
Futrelle,Mrs. Jacques Heath (Lily May Peel),Female,35.0,First Class,S
Fynney,Mr. Joseph J,Male,35.0,Second Class,S
Gale,Mr. Shadrach,Male,34.0,Second Class,S
Gallagher,Mr. Martin,Male,25.0,Third Class,Q
Garfirth,Mr. John,Male,,Third Class,S
Garside,Miss. Ethel,Female,34.0,Second Class,S
Gaskell,Mr. Alfred,Male,16.0,Second Class,S
Gavey,Mr. Lawrence,Male,26.0,Second Class,S
Gee,Mr. Arthur H,Male,47.0,First Class,S
Gheorgheff,Mr. Stanio,Male,,Third Class,C
Giglio,Mr. Victor,Male,24.0,First Class,C
Giles,Mr. Frederick Edward,Male,21.0,Second Class,S
Gilinski,Mr. Eliezer,Male,22.0,Third Class,S
Gill,Mr. John William,Male,24.0,Second Class,S
Gillespie,Mr. William Henry,Male,34.0,Second Class,S
Gilnagh,"Miss. Katherine ""Katie""",Female,16.0,Third Class,Q
Givard,Mr. Hans Kristensen,Male,30.0,Second Class,S
Glynn,Miss. Mary Agatha,Female,,Third Class,Q
Goldenberg,Mr. Samuel L,Male,49.0,First Class,C
Goldenberg,Mrs. Samuel L (Edwiga Grabowska),Female,,First Class,C
Goldschmidt,Mr. George B,Male,71.0,First Class,C
Goldsmith,"Master. Frank John William ""Frankie""",Male,9.0,Third Class,S
Goldsmith,Mr. Frank John,Male,33.0,Third Class,S
Goldsmith,Mrs. Frank John (Emily Alice Brown),Female,31.0,Third Class,S
Goncalves,Mr. Manuel Estanslas,Male,38.0,Third Class,S
Goodwin,Master. Harold Victor,Male,9.0,Third Class,S
Goodwin,Master. Sidney Leonard,Male,1.0,Third Class,S
Goodwin,Master. William Frederick,Male,11.0,Third Class,S
Goodwin,Miss. Lillian Amy,Female,16.0,Third Class,S
Goodwin,Mr. Charles Edward,Male,14.0,Third Class,S
Goodwin,Mrs. Frederick (Augusta Tyler),Female,43.0,Third Class,S
Graham,Miss. Margaret Edith,Female,19.0,First Class,S
Graham,Mr. George Edward,Male,38.0,First Class,S
Graham,Mrs. William Thompson (Edith Junkins),Female,58.0,First Class,S
Green,Mr. George Henry,Male,51.0,Third Class,S
Greenberg,Mr. Samuel,Male,52.0,Second Class,S
Greenfield,Mr. William Bertram,Male,23.0,First Class,C
Gronnestad,Mr. Daniel Danielsen,Male,32.0,Third Class,S
Guggenheim,Mr. Benjamin,Male,46.0,First Class,C
Gustafsson,Mr. Alfred Ossian,Male,20.0,Third Class,S
Gustafsson,Mr. Anders Vilhelm,Male,37.0,Third Class,S
Gustafsson,Mr. Johan Birger,Male,28.0,Third Class,S
Gustafsson,Mr. Karl Gideon,Male,19.0,Third Class,S
Haas,Miss. Aloisia,Female,24.0,Third Class,S
Hagland,Mr. Ingvald Olai Olsen,Male,,Third Class,S
Hagland,Mr. Konrad Mathias Reiersen,Male,,Third Class,S
Hakkarainen,Mr. Pekka Pietari,Male,28.0,Third Class,S
Hakkarainen,Mrs. Pekka Pietari (Elin Matilda Dolck),Female,24.0,Third Class,S
Hale,Mr. Reginald,Male,30.0,Second Class,S
Hamalainen,Master. Viljo,Male,0.67,Second Class,S
Hamalainen,Mrs. William (Anna),Female,24.0,Second Class,S
Hampe,Mr. Leon,Male,20.0,Third Class,S
Hanna,Mr. Mansour,Male,23.5,Third Class,C
Hansen,Mr. Claus Peter,Male,41.0,Third Class,S
Hansen,Mr. Henrik Juul,Male,26.0,Third Class,S
Hansen,Mr. Henry Damsgaard,Male,21.0,Third Class,S
Harder,Mr. George Achilles,Male,25.0,First Class,C
Harknett,Miss. Alice Phoebe,Female,,Third Class,S
Harmer,Mr. Abraham (David Lishin),Male,25.0,Third Class,S
Harper,"Miss. Annie Jessie ""Nina""",Female,6.0,Second Class,S
Harper,Mr. Henry Sleeper,Male,48.0,First Class,C
Harper,Mrs. Henry Sleeper (Myna Haxtun),Female,49.0,First Class,C
Harper,Rev. John,Male,28.0,Second Class,S
Harrington,Mr. Charles H,Male,,First Class,S
Harris,Mr. George,Male,62.0,Second Class,S
Harris,Mr. Henry Birkhardt,Male,45.0,First Class,S
Harris,Mr. Walter,Male,30.0,Second Class,S
Harris,Mrs. Henry Birkhardt (Irene Wallach),Female,35.0,First Class,S
Harrison,Mr. William,Male,40.0,First Class,S
Hart,Miss. Eva Miriam,Female,7.0,Second Class,S
Hart,Mr. Benjamin,Male,43.0,Second Class,S
Hart,Mr. Henry,Male,,Third Class,Q
Hart,Mrs. Benjamin (Esther Ada Bloomfield),Female,45.0,Second Class,S
Hassab,Mr. Hammad,Male,27.0,First Class,C
Hassan,Mr. Houssein G N,Male,11.0,Third Class,C
Hawksford,Mr. Walter James,Male,,First Class,S
Hays,Miss. Margaret Bechstein,Female,24.0,First Class,C
Hays,Mrs. Charles Melville (Clara Jennings Gregg),Female,52.0,First Class,S
Healy,"Miss. Hanora ""Nora""",Female,,Third Class,Q
Hedman,Mr. Oskar Arvid,Male,27.0,Third Class,S
Hegarty,"Miss. Hanora ""Nora""",Female,18.0,Third Class,Q
Heikkinen,Miss. Laina,Female,26.0,Third Class,S
Heininen,Miss. Wendla Maria,Female,23.0,Third Class,S
Hendekovic,Mr. Ignjac,Male,28.0,Third Class,S
Henry,Miss. Delia,Female,,Third Class,Q
Herman,Miss. Alice,Female,24.0,Second Class,S
Herman,Mrs. Samuel (Jane Laver),Female,48.0,Second Class,S
Hewlett,Mrs. (Mary D Kingcome) ,Female,55.0,Second Class,S
Hickman,Mr. Leonard Mark,Male,24.0,Second Class,S
Hickman,Mr. Lewis,Male,32.0,Second Class,S
Hickman,Mr. Stanley George,Male,21.0,Second Class,S
Hippach,Miss. Jean Gertrude,Female,16.0,First Class,C
Hippach,Mrs. Louis Albert (Ida Sophia Fischer),Female,44.0,First Class,C
Hirvonen,Miss. Hildur E,Female,2.0,Third Class,S
Hocking,Mr. Richard George,Male,23.0,Second Class,S
Hocking,Mrs. Elizabeth (Eliza Needs),Female,54.0,Second Class,S
Hodges,Mr. Henry Price,Male,50.0,Second Class,S
Hogeboom,Mrs. John C (Anna Andrews),Female,51.0,First Class,S
Hold,Mr. Stephen,Male,44.0,Second Class,S
Holm,Mr. John Fredrik Alexander,Male,43.0,Third Class,S
Holverson,Mr. Alexander Oskar,Male,42.0,First Class,S
Holverson,Mrs. Alexander Oskar (Mary Aline Towner),Female,35.0,First Class,S
Homer,"Mr. Harry (""Mr E Haven"")",Male,35.0,First Class,C
Honkanen,Miss. Eliina,Female,27.0,Third Class,S
Hood,Mr. Ambrose Jr,Male,21.0,Second Class,S
Horgan,Mr. John,Male,,Third Class,Q
Hosono,Mr. Masabumi,Male,42.0,Second Class,S
Hoyt,Mr. Frederick Maxfield,Male,38.0,First Class,S
Hoyt,Mr. William Fisher,Male,,First Class,C
Hoyt,Mrs. Frederick Maxfield (Jane Anne Forby),Female,35.0,First Class,S
Humblen,Mr. Adolf Mathias Nicolai Olsen,Male,42.0,Third Class,S
Hunt,Mr. George Henry,Male,33.0,Second Class,S
Ibrahim Shawah,Mr. Yousseff,Male,30.0,Third Class,C
Icard,Miss. Amelie,Female,38.0,First Class,
Ilett,Miss. Bertha,Female,17.0,Second Class,S
Ilmakangas,Miss. Pieta Sofia,Female,25.0,Third Class,S
Isham,Miss. Ann Elizabeth,Female,50.0,First Class,C
Ivanoff,Mr. Kanio,Male,,Third Class,S
Jacobsohn,Mr. Sidney Samuel,Male,42.0,Second Class,S
Jacobsohn,Mrs. Sidney Samuel (Amy Frances Christy),Female,24.0,Second Class,S
Jalsevac,Mr. Ivan,Male,29.0,Third Class,C
Jansson,Mr. Carl Olof,Male,21.0,Third Class,S
Jardin,Mr. Jose Neto,Male,,Third Class,S
Jarvis,Mr. John Denzil,Male,47.0,Second Class,S
Jenkin,Mr. Stephen Curnow,Male,32.0,Second Class,S
Jensen,Mr. Hans Peder,Male,20.0,Third Class,S
Jensen,Mr. Niels Peder,Male,48.0,Third Class,S
Jensen,Mr. Svend Lauritz,Male,17.0,Third Class,S
Jermyn,Miss. Annie,Female,,Third Class,Q
Jerwan,Mrs. Amin S (Marie Marthe Thuillard),Female,23.0,Second Class,C
Johannesen-Bratthammer,Mr. Bernt,Male,,Third Class,S
Johanson,Mr. Jakob Alfred,Male,34.0,Third Class,S
Johansson,Mr. Erik,Male,22.0,Third Class,S
Johansson,Mr. Gustaf Joel,Male,33.0,Third Class,S
Johansson,Mr. Karl Johan,Male,31.0,Third Class,S
Johnson,Master. Harold Theodor,Male,4.0,Third Class,S
Johnson,Miss. Eleanor Ileen,Female,1.0,Third Class,S
Johnson,Mr. Alfred,Male,49.0,Third Class,S
Johnson,Mr. Malkolm Joackim,Male,33.0,Third Class,S
Johnson,Mr. William Cahoone Jr,Male,19.0,Third Class,S
Johnson,Mrs. Oscar W (Elisabeth Vilhelmina Berg),Female,27.0,Third Class,S
Johnston,"Miss. Catherine Helen ""Carrie""",Female,,Third Class,S
Johnston,Mr. Andrew G,Male,,Third Class,S
Jonkoff,Mr. Lalio,Male,23.0,Third Class,S
Jonsson,Mr. Carl,Male,32.0,Third Class,S
Jussila,Miss. Katriina,Female,20.0,Third Class,S
Jussila,Miss. Mari Aina,Female,21.0,Third Class,S
Jussila,Mr. Eiriik,Male,32.0,Third Class,S
Kallio,Mr. Nikolai Erland,Male,17.0,Third Class,S
Kalvik,Mr. Johannes Halvorsen,Male,21.0,Third Class,S
Kantor,Mr. Sinai,Male,34.0,Second Class,S
Kantor,Mrs. Sinai (Miriam Sternin),Female,24.0,Second Class,S
Karaic,Mr. Milan,Male,30.0,Third Class,S
Karlsson,Mr. Nils August,Male,22.0,Third Class,S
Karun,Miss. Manca,Female,4.0,Third Class,C
Kassem,Mr. Fared,Male,,Third Class,C
Keane,Miss. Nora A,Female,,Second Class,Q
Keane,"Mr. Andrew ""Andy""",Male,,Third Class,Q
Keefe,Mr. Arthur,Male,,Third Class,S
Kelly,"Miss. Anna Katherine ""Annie Kate""",Female,,Third Class,Q
Kelly,Miss. Mary,Female,,Third Class,Q
Kelly,Mr. James,Male,44.0,Third Class,S
Kelly,"Mrs. Florence ""Fannie""",Female,45.0,Second Class,S
Kent,Mr. Edward Austin,Male,58.0,First Class,C
Kenyon,Mrs. Frederick R (Marion),Female,,First Class,S
Kiernan,Mr. Philip,Male,,Third Class,Q
Kilgannon,Mr. Thomas J,Male,,Third Class,Q
Kimball,Mr. Edwin Nelson Jr,Male,42.0,First Class,S
Kink,Mr. Vincenz,Male,26.0,Third Class,S
Kink-Heilmann,Miss. Luise Gretchen,Female,4.0,Third Class,S
Kirkland,Rev. Charles Leonard,Male,57.0,Second Class,Q
Klaber,Mr. Herman,Male,,First Class,S
Klasen,Mr. Klas Albin,Male,18.0,Third Class,S
Knight,Mr. Robert J,Male,,Second Class,S
